word,meaning,verb
read,읽다,v
read,읽기,n
accountant,회계사,n
file for bankruptcy,파산신청을 하다,i
sound the alarm,주의를 촉구하다, i
sound the alarm,위급함을 알리다, i
for a while, 잠시 동안, i
hit a snag, 난관에 부딪치다, i
hit a snag, 뜻밖의 장애에 부딪치다, i
lockdown,봉쇄,n
fall apart,무너지다,i
fall apart,파탄나다,i
epidemic,유행병, n
snag,문제,n
snag,곤란한 일,n
integrity,진실성,n
venue, 장소, n
burn down, 전소되다, i
dementia,치매,n
misplace,제자리에 두지 않다, n
lose track of, 놓치다, i
worldly, 속세의, a
chalk,분필,n
heat wave, 폭염, i
tech-savvy,기술에 정통한, a
house plant, 화초, n
preservative, 방부제, n
there's more to someone/something than meets the eye, 겉으로 보이는 것이 전부는 아니다, i
take a back seat to someone/something, ~에 밀리다, i
side dish, 반찬, n
complement, 보완하다, v
bearer, 전달자, n




